Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
100         | 0.01   | 3      | 29322.57 | 1.11    
100         | 0.01   | 4      | 27308.90 | 0.93    
100         | 0.01   | 5      | 25688.26 | 0.94    
100         | 0.1    | 1      | 22261.37 | 0.87    
100         | 0.1    | 2      | 24538.28 | 1.10    
100         | 0.1    | 3      | 26551.10 | 1.08    
100         | 0.1    | 4      | 25428.04 | 0.96    
100         | 0.1    | 5      | 24878.70 | 0.98    
100         | 1      | 1      | 21880.33 | 0.88    
100         | 1      | 2      | 23471.19 | 1.07    
100         | 1      | 3      | 25183.74 | 1.07    
100         | 1      | 4      | 24899.40 | 0.99    
100         | 1      | 5      | 24759.81 | 0.99    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_spanish.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 14468129.08 | 584.34  
25          | 0      | 2      | 13030559.68 | 0.90    
25          | 0      | 3      | 12123547.40 | 0.93    
25          | 0      | 4      | 12019959.27 | 0.99    
25          | 0      | 5      | 12933972.08 | 1.08    
25          | 0.01   | 1      | 14779221.36 | 1.14    
25          | 0.01   | 2      | 14158619.02 | 0.96    
25          | 0.01   | 3      | 13856025.98 | 0.98    
25          | 0.01   | 4      | 14021717.19 | 1.01    
25          | 0.01   | 5      | 15025453.98 | 1.07    
25          | 0.1    | 1      | 14706162.07 | 0.98    
25          | 0.1    | 2      | 13842985.74 | 0.94    
25          | 0.1    | 3      | 13436949.67 | 0.97    
25          | 0.1    | 4      | 13781072.16 | 1.03    
25          | 0.1    | 5      | 15132513.03 | 1.10    
25          | 1      | 1      | 14643488.15 | 0.97    
25          | 1      | 2      | 13766083.56 | 0.94    
25          | 1      | 3      | 13816608.34 | 1.00    
25          | 1      | 4      | 15117568.31 | 1.09    
25          | 1      | 5      | 17273343.90 | 1.14    
50          | 0      | 1      | 14468129.08 | 0.84    
50          | 0      | 2      | 13030559.68 | 0.90    
50          | 0      | 3      | 12123547.40 | 0.93    
50          | 0      | 4      | 12019959.27 | 0.99    
50          | 0      | 5      | 12933972.08 | 1.08    
50          | 0.01   | 1      | 14779221.36 | 1.14    
50          | 0.01   | 2      | 14158619.02 | 0.96    
50          | 0.01   | 3      | 13856025.98 | 0.98    
50          | 0.01   | 4      | 14021717.19 | 1.01    
50          | 0.01   | 5      | 15025453.98 | 1.07    
50          | 0.1    | 1      | 14706162.07 | 0.98    
50          | 0.1    | 2      | 13842985.74 | 0.94    
50          | 0.1    | 3      | 13436949.67 | 0.97    
50          | 0.1    | 4      | 13781072.16 | 1.03    
50          | 0.1    | 5      | 15132513.03 | 1.10    
50          | 1      | 1      | 14643488.15 | 0.97    
50          | 1      | 2      | 13766083.56 | 0.94    
50          | 1      | 3      | 13816608.34 | 1.00    
50          | 1      | 4      | 15117568.31 | 1.09    
50          | 1      | 5      | 17273343.90 | 1.14    
100         | 0      | 1      | 14468129.08 | 0.84    
100         | 0      | 2      | 13030559.68 | 0.90    
100         | 0      | 3      | 12123547.40 | 0.93    
100         | 0      | 4      | 12019959.27 | 0.99    
100         | 0      | 5      | 12933972.08 | 1.08    
100         | 0.01   | 1      | 14779221.36 | 1.14    
100         | 0.01   | 2      | 14158619.02 | 0.96    
100         | 0.01   | 3      | 13856025.98 | 0.98    
100         | 0.01   | 4      | 14021717.19 | 1.01    
100         | 0.01   | 5      | 15025453.98 | 1.07    
100         | 0.1    | 1      | 14706162.07 | 0.98    
100         | 0.1    | 2      | 13842985.74 | 0.94    
100         | 0.1    | 3      | 13436949.67 | 0.97    
100         | 0.1    | 4      | 13781072.16 | 1.03    
100         | 0.1    | 5      | 15132513.03 | 1.10    
100         | 1      | 1      | 14643488.15 | 0.97    
100         | 1      | 2      | 13766083.56 | 0.94    
100         | 1      | 3      | 13816608.34 | 1.00    
100         | 1      | 4      | 15117568.31 | 1.09    
100         | 1      | 5      | 17273343.90 | 1.14    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example2.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 11721288.52 | 0.68    
