Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | a      | K      | res      | ratio   
50          | 1      | 2      | 25850138.62 | 1.08    
50          | 1      | 3      | 27287968.53 | 1.06    
50          | 1      | 4      | 26698038.97 | 0.98    
50          | 1      | 5      | 25838050.41 | 0.97    
100         | 0      | 1      | 22688074.77 | 0.88    
100         | 0      | 2      | 22472024.60 | 0.99    
100         | 0      | 3      | 21450241.98 | 0.95    
100         | 0      | 4      | 22352071.04 | 1.04    
100         | 0      | 5      | 24131803.36 | 1.08    
100         | 0.01   | 1      | 25180095.93 | 1.04    
100         | 0.01   | 2      | 27976039.48 | 1.11    
100         | 0.01   | 3      | 30870495.79 | 1.10    
100         | 0.01   | 4      | 29083671.57 | 0.94    
100         | 0.01   | 5      | 26730682.71 | 0.92    
100         | 0.1    | 1      | 24591215.91 | 0.92    
100         | 0.1    | 2      | 26559291.20 | 1.08    
100         | 0.1    | 3      | 28256993.04 | 1.06    
100         | 0.1    | 4      | 27043943.18 | 0.96    
100         | 0.1    | 5      | 25873003.77 | 0.96    
100         | 1      | 1      | 24032673.74 | 0.93    
100         | 1      | 2      | 25850138.62 | 1.08    
100         | 1      | 3      | 27287968.53 | 1.06    
100         | 1      | 4      | 26698038.97 | 0.98    
100         | 1      | 5      | 25838050.41 | 0.97    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/test.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 690.84   | 0.00    
25          | 0      | 2      | 653.36   | 0.95    
25          | 0      | 3      | 643.09   | 0.98    
25          | 0      | 4      | 615.12   | 0.96    
25          | 0      | 5      | 675.52   | 1.10    
25          | 0.01   | 1      | 727.44   | 1.08    
25          | 0.01   | 2      | 843.66   | 1.16    
25          | 0.01   | 3      | 967.25   | 1.15    
25          | 0.01   | 4      | 879.80   | 0.91    
25          | 0.01   | 5      | 841.32   | 0.96    
25          | 0.1    | 1      | 723.62   | 0.86    
25          | 0.1    | 2      | 799.49   | 1.10    
25          | 0.1    | 3      | 892.94   | 1.12    
25          | 0.1    | 4      | 822.85   | 0.92    
25          | 0.1    | 5      | 796.42   | 0.97    
25          | 1      | 1      | 720.99   | 0.91    
25          | 1      | 2      | 773.36   | 1.07    
25          | 1      | 3      | 857.49   | 1.11    
25          | 1      | 4      | 817.77   | 0.95    
25          | 1      | 5      | 789.66   | 0.97    
50          | 0      | 1      | 690.84   | 0.87    
50          | 0      | 2      | 653.36   | 0.95    
50          | 0      | 3      | 643.09   | 0.98    
50          | 0      | 4      | 615.12   | 0.96    
50          | 0      | 5      | 675.52   | 1.10    
50          | 0.01   | 1      | 727.44   | 1.08    
50          | 0.01   | 2      | 843.66   | 1.16    
50          | 0.01   | 3      | 967.25   | 1.15    
50          | 0.01   | 4      | 879.80   | 0.91    
50          | 0.01   | 5      | 841.32   | 0.96    
50          | 0.1    | 1      | 723.62   | 0.86    
50          | 0.1    | 2      | 799.49   | 1.10    
50          | 0.1    | 3      | 892.94   | 1.12    
50          | 0.1    | 4      | 822.85   | 0.92    
50          | 0.1    | 5      | 796.42   | 0.97    
50          | 1      | 1      | 720.99   | 0.91    
50          | 1      | 2      | 773.36   | 1.07    
50          | 1      | 3      | 857.49   | 1.11    
50          | 1      | 4      | 817.77   | 0.95    
50          | 1      | 5      | 789.66   | 0.97    
100         | 0      | 1      | 690.84   | 0.87    
100         | 0      | 2      | 653.36   | 0.95    
100         | 0      | 3      | 643.09   | 0.98    
100         | 0      | 4      | 615.12   | 0.96    
100         | 0      | 5      | 675.52   | 1.10    
100         | 0.01   | 1      | 727.44   | 1.08    
100         | 0.01   | 2      | 843.66   | 1.16    
100         | 0.01   | 3      | 967.25   | 1.15    
100         | 0.01   | 4      | 879.80   | 0.91    
100         | 0.01   | 5      | 841.32   | 0.96    
100         | 0.1    | 1      | 723.62   | 0.86    
100         | 0.1    | 2      | 799.49   | 1.10    
100         | 0.1    | 3      | 892.94   | 1.12    
100         | 0.1    | 4      | 822.85   | 0.92    
100         | 0.1    | 5      | 796.42   | 0.97    
100         | 1      | 1      | 720.99   | 0.91    
100         | 1      | 2      | 773.36   | 1.07    
100         | 1      | 3      | 857.49   | 1.11    
100         | 1      | 4      | 817.77   | 0.95    
100         | 1      | 5      | 789.66   | 0.97    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_czech.txt
ref_size(%) | a      | K      | res      | ratio   
25          | 0      | 1      | 19813258.90 | 25090.87
25          | 0      | 2      | 19913551.91 | 1.01    
25          | 0      | 3      | 20813825.85 | 1.05    
25          | 0      | 4      | 22039323.81 | 1.06    
25          | 0      | 5      | 22712865.41 | 1.03    
25          | 0.01   | 1      | 22602393.77 | 1.00    
25          | 0.01   | 2      | 27530725.48 | 1.22    
25          | 0.01   | 3      | 27292981.38 | 0.99    
25          | 0.01   | 4      | 24781573.98 | 0.91    
25          | 0.01   | 5      | 23459583.97 | 0.95    
25          | 0.1    | 1      | 21940484.39 | 0.94    
25          | 0.1    | 2      | 25145724.48 | 1.15    
25          | 0.1    | 3      | 24899642.68 | 0.99    
