Lang Ref_Size Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
K      | a      | ref_size(%) | res      | ratio   
4      | 0.01   | 100         | 29083671.57 | 1.00    
4      | 0.1    | 25          | 27043943.18 | 0.93    
4      | 0.1    | 50          | 27043943.18 | 1.00    
4      | 0.1    | 100         | 27043943.18 | 1.00    
4      | 1      | 25          | 26698038.97 | 0.99    
4      | 1      | 50          | 26698038.97 | 1.00    
4      | 1      | 100         | 26698038.97 | 1.00    
5      | 0      | 25          | 24131803.36 | 0.90    
5      | 0      | 50          | 24131803.36 | 1.00    
5      | 0      | 100         | 24131803.36 | 1.00    
5      | 0.01   | 25          | 26730682.71 | 1.11    
5      | 0.01   | 50          | 26730682.71 | 1.00    
5      | 0.01   | 100         | 26730682.71 | 1.00    
5      | 0.1    | 25          | 25873003.77 | 0.97    
5      | 0.1    | 50          | 25873003.77 | 1.00    
5      | 0.1    | 100         | 25873003.77 | 1.00    
5      | 1      | 25          | 25838050.41 | 1.00    
5      | 1      | 50          | 25838050.41 | 1.00    
5      | 1      | 100         | 25838050.41 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/test.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 690.84   | 0.00    
1      | 0      | 50          | 690.84   | 1.00    
1      | 0      | 100         | 690.84   | 1.00    
1      | 0.01   | 25          | 727.44   | 1.05    
1      | 0.01   | 50          | 727.44   | 1.00    
1      | 0.01   | 100         | 727.44   | 1.00    
1      | 0.1    | 25          | 723.62   | 0.99    
1      | 0.1    | 50          | 723.62   | 1.00    
1      | 0.1    | 100         | 723.62   | 1.00    
1      | 1      | 25          | 720.99   | 1.00    
1      | 1      | 50          | 720.99   | 1.00    
1      | 1      | 100         | 720.99   | 1.00    
2      | 0      | 25          | 653.36   | 0.91    
2      | 0      | 50          | 653.36   | 1.00    
2      | 0      | 100         | 653.36   | 1.00    
2      | 0.01   | 25          | 843.66   | 1.29    
2      | 0.01   | 50          | 843.66   | 1.00    
2      | 0.01   | 100         | 843.66   | 1.00    
2      | 0.1    | 25          | 799.49   | 0.95    
2      | 0.1    | 50          | 799.49   | 1.00    
2      | 0.1    | 100         | 799.49   | 1.00    
2      | 1      | 25          | 773.36   | 0.97    
2      | 1      | 50          | 773.36   | 1.00    
2      | 1      | 100         | 773.36   | 1.00    
3      | 0      | 25          | 643.09   | 0.83    
3      | 0      | 50          | 643.09   | 1.00    
3      | 0      | 100         | 643.09   | 1.00    
3      | 0.01   | 25          | 967.25   | 1.50    
3      | 0.01   | 50          | 967.25   | 1.00    
3      | 0.01   | 100         | 967.25   | 1.00    
3      | 0.1    | 25          | 892.94   | 0.92    
3      | 0.1    | 50          | 892.94   | 1.00    
3      | 0.1    | 100         | 892.94   | 1.00    
3      | 1      | 25          | 857.49   | 0.96    
3      | 1      | 50          | 857.49   | 1.00    
3      | 1      | 100         | 857.49   | 1.00    
4      | 0      | 25          | 615.12   | 0.72    
4      | 0      | 50          | 615.12   | 1.00    
4      | 0      | 100         | 615.12   | 1.00    
4      | 0.01   | 25          | 879.80   | 1.43    
4      | 0.01   | 50          | 879.80   | 1.00    
4      | 0.01   | 100         | 879.80   | 1.00    
4      | 0.1    | 25          | 822.85   | 0.94    
4      | 0.1    | 50          | 822.85   | 1.00    
4      | 0.1    | 100         | 822.85   | 1.00    
4      | 1      | 25          | 817.77   | 0.99    
4      | 1      | 50          | 817.77   | 1.00    
4      | 1      | 100         | 817.77   | 1.00    
5      | 0      | 25          | 675.52   | 0.83    
5      | 0      | 50          | 675.52   | 1.00    
5      | 0      | 100         | 675.52   | 1.00    
5      | 0.01   | 25          | 841.32   | 1.25    
5      | 0.01   | 50          | 841.32   | 1.00    
5      | 0.01   | 100         | 841.32   | 1.00    
5      | 0.1    | 25          | 796.42   | 0.95    
5      | 0.1    | 50          | 796.42   | 1.00    
5      | 0.1    | 100         | 796.42   | 1.00    
5      | 1      | 25          | 789.66   | 0.99    
5      | 1      | 50          | 789.66   | 1.00    
5      | 1      | 100         | 789.66   | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_czech.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 19813258.90 | 25090.87
1      | 0      | 50          | 19813258.90 | 1.00    
1      | 0      | 100         | 19813258.90 | 1.00    
1      | 0.01   | 25          | 22602393.77 | 1.14    
1      | 0.01   | 50          | 22602393.77 | 1.00    
1      | 0.01   | 100         | 22602393.77 | 1.00    
1      | 0.1    | 25          | 21940484.39 | 0.97    
1      | 0.1    | 50          | 21940484.39 | 1.00    
1      | 0.1    | 100         | 21940484.39 | 1.00    
1      | 1      | 25          | 21343721.61 | 0.97    
1      | 1      | 50          | 21343721.61 | 1.00    
1      | 1      | 100         | 21343721.61 | 1.00    
2      | 0      | 25          | 19913551.91 | 0.93    
2      | 0      | 50          | 19913551.91 | 1.00    
2      | 0      | 100         | 19913551.91 | 1.00    
2      | 0.01   | 25          | 27530725.48 | 1.38    
2      | 0.01   | 50          | 27530725.48 | 1.00    
2      | 0.01   | 100         | 27530725.48 | 1.00    
2      | 0.1    | 25          | 25145724.48 | 0.91    
2      | 0.1    | 50          | 25145724.48 | 1.00    
2      | 0.1    | 100         | 25145724.48 | 1.00    
2      | 1      | 25          | 23434508.05 | 0.93    
2      | 1      | 50          | 23434508.05 | 1.00    
2      | 1      | 100         | 23434508.05 | 1.00    
3      | 0      | 25          | 20813825.85 | 0.89    
3      | 0      | 50          | 20813825.85 | 1.00    
3      | 0      | 100         | 20813825.85 | 1.00    
3      | 0.01   | 25          | 27292981.38 | 1.31    
3      | 0.01   | 50          | 27292981.38 | 1.00    
3      | 0.01   | 100         | 27292981.38 | 1.00    
3      | 0.1    | 25          | 24899642.68 | 0.91    
3      | 0.1    | 50          | 24899642.68 | 1.00    
3      | 0.1    | 100         | 24899642.68 | 1.00    
3      | 1      | 25          | 23562156.07 | 0.95    
3      | 1      | 50          | 23562156.07 | 1.00    
3      | 1      | 100         | 23562156.07 | 1.00    
4      | 0      | 25          | 22039323.81 | 0.94    
4      | 0      | 50          | 22039323.81 | 1.00    
4      | 0      | 100         | 22039323.81 | 1.00    
