Lang Ref_Size Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
K      | a      | ref_size(%) | res      | ratio   
5      | 0      | 100         | 12933972.08 | 1.00    
5      | 0.01   | 25          | 15025453.98 | 1.16    
5      | 0.01   | 50          | 15025453.98 | 1.00    
5      | 0.01   | 100         | 15025453.98 | 1.00    
5      | 0.1    | 25          | 15132513.03 | 1.01    
5      | 0.1    | 50          | 15132513.03 | 1.00    
5      | 0.1    | 100         | 15132513.03 | 1.00    
5      | 1      | 25          | 17273343.90 | 1.14    
5      | 1      | 50          | 17273343.90 | 1.00    
5      | 1      | 100         | 17273343.90 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example2.txt
K      | a      | ref_size(%) | res      | ratio   
1      | 0      | 25          | 11721288.52 | 0.68    
1      | 0      | 50          | 11721288.52 | 1.00    
1      | 0      | 100         | 11721288.52 | 1.00    
1      | 0.01   | 25          | 13009407.02 | 1.11    
1      | 0.01   | 50          | 13009407.02 | 1.00    
1      | 0.01   | 100         | 13009407.02 | 1.00    
1      | 0.1    | 25          | 12711151.62 | 0.98    
1      | 0.1    | 50          | 12711151.62 | 1.00    
1      | 0.1    | 100         | 12711151.62 | 1.00    
1      | 1      | 25          | 12426364.07 | 0.98    
1      | 1      | 50          | 12426364.07 | 1.00    
1      | 1      | 100         | 12426364.07 | 1.00    
2      | 0      | 25          | 11590127.78 | 0.93    
2      | 0      | 50          | 11590127.78 | 1.00    
2      | 0      | 100         | 11590127.78 | 1.00    
2      | 0.01   | 25          | 14430199.46 | 1.25    
2      | 0.01   | 50          | 14430199.46 | 1.00    
2      | 0.01   | 100         | 14430199.46 | 1.00    
2      | 0.1    | 25          | 13713977.09 | 0.95    
2      | 0.1    | 50          | 13713977.09 | 1.00    
2      | 0.1    | 100         | 13713977.09 | 1.00    
2      | 1      | 25          | 13361485.49 | 0.97    
2      | 1      | 50          | 13361485.49 | 1.00    
2      | 1      | 100         | 13361485.49 | 1.00    
3      | 0      | 25          | 10925687.96 | 0.82    
3      | 0      | 50          | 10925687.96 | 1.00    
3      | 0      | 100         | 10925687.96 | 1.00    
3      | 0.01   | 25          | 15911795.25 | 1.46    
3      | 0.01   | 50          | 15911795.25 | 1.00    
3      | 0.01   | 100         | 15911795.25 | 1.00    
3      | 0.1    | 25          | 14567234.54 | 0.92    
3      | 0.1    | 50          | 14567234.54 | 1.00    
3      | 0.1    | 100         | 14567234.54 | 1.00    
3      | 1      | 25          | 14080721.78 | 0.97    
3      | 1      | 50          | 14080721.78 | 1.00    
3      | 1      | 100         | 14080721.78 | 1.00    
4      | 0      | 25          | 11255624.45 | 0.80    
4      | 0      | 50          | 11255624.45 | 1.00    
4      | 0      | 100         | 11255624.45 | 1.00    
4      | 0.01   | 25          | 14883419.80 | 1.32    
4      | 0.01   | 50          | 14883419.80 | 1.00    
4      | 0.01   | 100         | 14883419.80 | 1.00    
4      | 0.1    | 25          | 13823391.82 | 0.93    
4      | 0.1    | 50          | 13823391.82 | 1.00    
4      | 0.1    | 100         | 13823391.82 | 1.00    
4      | 1      | 25          | 13656054.01 | 0.99    
4      | 1      | 50          | 13656054.01 | 1.00    
4      | 1      | 100         | 13656054.01 | 1.00    
5      | 0      | 25          | 12150108.84 | 0.89    
5      | 0      | 50          | 12150108.84 | 1.00    
5      | 0      | 100         | 12150108.84 | 1.00    
5      | 0.01   | 25          | 13566229.47 | 1.12    
5      | 0.01   | 50          | 13566229.47 | 1.00    
5      | 0.01   | 100         | 13566229.47 | 1.00    
5      | 0.1    | 25          | 13114907.71 | 0.97    
5      | 0.1    | 50          | 13114907.71 | 1.00    
5      | 0.1    | 100         | 13114907.71 | 1.00    
5      | 1      | 25          | 13094880.99 | 1.00    
5      | 1      | 50          | 13094880.99 | 1.00    
5      | 1      | 100         | 13094880.99 | 1.00    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_english.txt
