Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
100         | 5      | 1      | 23366627.46 | 1.04    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/3_en_fr_de.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 20663.10 | 0.00    
25          | 2      | 0      | 20182.68 | 0.98    
25          | 3      | 0      | 20721.66 | 1.03    
25          | 4      | 0      | 21897.87 | 1.06    
25          | 5      | 0      | 23511.04 | 1.07    
25          | 1      | 0.01   | 22691.97 | 0.97    
25          | 2      | 0.01   | 26312.66 | 1.16    
25          | 3      | 0.01   | 29322.57 | 1.11    
25          | 4      | 0.01   | 27308.90 | 0.93    
25          | 5      | 0.01   | 25688.26 | 0.94    
25          | 1      | 0.1    | 22261.37 | 0.87    
25          | 2      | 0.1    | 24538.28 | 1.10    
25          | 3      | 0.1    | 26551.10 | 1.08    
25          | 4      | 0.1    | 25428.04 | 0.96    
25          | 5      | 0.1    | 24878.70 | 0.98    
25          | 1      | 1      | 21880.33 | 0.88    
25          | 2      | 1      | 23471.19 | 1.07    
25          | 3      | 1      | 25183.74 | 1.07    
25          | 4      | 1      | 24899.40 | 0.99    
25          | 5      | 1      | 24759.81 | 0.99    
50          | 1      | 0      | 20663.10 | 0.83    
50          | 2      | 0      | 20182.68 | 0.98    
50          | 3      | 0      | 20721.66 | 1.03    
50          | 4      | 0      | 21897.87 | 1.06    
50          | 5      | 0      | 23511.04 | 1.07    
50          | 1      | 0.01   | 22691.97 | 0.97    
50          | 2      | 0.01   | 26312.66 | 1.16    
50          | 3      | 0.01   | 29322.57 | 1.11    
50          | 4      | 0.01   | 27308.90 | 0.93    
50          | 5      | 0.01   | 25688.26 | 0.94    
50          | 1      | 0.1    | 22261.37 | 0.87    
50          | 2      | 0.1    | 24538.28 | 1.10    
50          | 3      | 0.1    | 26551.10 | 1.08    
50          | 4      | 0.1    | 25428.04 | 0.96    
50          | 5      | 0.1    | 24878.70 | 0.98    
50          | 1      | 1      | 21880.33 | 0.88    
50          | 2      | 1      | 23471.19 | 1.07    
50          | 3      | 1      | 25183.74 | 1.07    
50          | 4      | 1      | 24899.40 | 0.99    
50          | 5      | 1      | 24759.81 | 0.99    
100         | 1      | 0      | 20663.10 | 0.83    
100         | 2      | 0      | 20182.68 | 0.98    
100         | 3      | 0      | 20721.66 | 1.03    
100         | 4      | 0      | 21897.87 | 1.06    
100         | 5      | 0      | 23511.04 | 1.07    
100         | 1      | 0.01   | 22691.97 | 0.97    
100         | 2      | 0.01   | 26312.66 | 1.16    
100         | 3      | 0.01   | 29322.57 | 1.11    
100         | 4      | 0.01   | 27308.90 | 0.93    
100         | 5      | 0.01   | 25688.26 | 0.94    
100         | 1      | 0.1    | 22261.37 | 0.87    
100         | 2      | 0.1    | 24538.28 | 1.10    
