Lang K Variation
Reference Text (r): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/refs/es_ES.Spanish-latn-EP7.utf8.xz
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/6_br_it_en_fr_dk_it.txt
ref_size(%) | K      | a      | res      | ratio   
50          | 5      | 0.01   | 26730682.71 | 0.92    
50          | 1      | 0.1    | 24591215.91 | 0.92    
50          | 2      | 0.1    | 26559291.20 | 1.08    
50          | 3      | 0.1    | 28256993.04 | 1.06    
50          | 4      | 0.1    | 27043943.18 | 0.96    
50          | 5      | 0.1    | 25873003.77 | 0.96    
50          | 1      | 1      | 24032673.74 | 0.93    
50          | 2      | 1      | 25850138.62 | 1.08    
50          | 3      | 1      | 27287968.53 | 1.06    
50          | 4      | 1      | 26698038.97 | 0.98    
50          | 5      | 1      | 25838050.41 | 0.97    
100         | 1      | 0      | 22688074.77 | 0.88    
100         | 2      | 0      | 22472024.60 | 0.99    
100         | 3      | 0      | 21450241.98 | 0.95    
100         | 4      | 0      | 22352071.04 | 1.04    
100         | 5      | 0      | 24131803.36 | 1.08    
100         | 1      | 0.01   | 25180095.93 | 1.04    
100         | 2      | 0.01   | 27976039.48 | 1.11    
100         | 3      | 0.01   | 30870495.79 | 1.10    
100         | 4      | 0.01   | 29083671.57 | 0.94    
100         | 5      | 0.01   | 26730682.71 | 0.92    
100         | 1      | 0.1    | 24591215.91 | 0.92    
100         | 2      | 0.1    | 26559291.20 | 1.08    
100         | 3      | 0.1    | 28256993.04 | 1.06    
100         | 4      | 0.1    | 27043943.18 | 0.96    
100         | 5      | 0.1    | 25873003.77 | 0.96    
100         | 1      | 1      | 24032673.74 | 0.93    
100         | 2      | 1      | 25850138.62 | 1.08    
100         | 3      | 1      | 27287968.53 | 1.06    
100         | 4      | 1      | 26698038.97 | 0.98    
100         | 5      | 1      | 25838050.41 | 0.97    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/test.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 690.84   | 0.00    
25          | 2      | 0      | 653.36   | 0.95    
25          | 3      | 0      | 643.09   | 0.98    
25          | 4      | 0      | 615.12   | 0.96    
25          | 5      | 0      | 675.52   | 1.10    
25          | 1      | 0.01   | 727.44   | 1.08    
25          | 2      | 0.01   | 843.66   | 1.16    
25          | 3      | 0.01   | 967.25   | 1.15    
25          | 4      | 0.01   | 879.80   | 0.91    
25          | 5      | 0.01   | 841.32   | 0.96    
25          | 1      | 0.1    | 723.62   | 0.86    
25          | 2      | 0.1    | 799.49   | 1.10    
25          | 3      | 0.1    | 892.94   | 1.12    
25          | 4      | 0.1    | 822.85   | 0.92    
25          | 5      | 0.1    | 796.42   | 0.97    
25          | 1      | 1      | 720.99   | 0.91    
25          | 2      | 1      | 773.36   | 1.07    
25          | 3      | 1      | 857.49   | 1.11    
25          | 4      | 1      | 817.77   | 0.95    
25          | 5      | 1      | 789.66   | 0.97    
50          | 1      | 0      | 690.84   | 0.87    
50          | 2      | 0      | 653.36   | 0.95    
50          | 3      | 0      | 643.09   | 0.98    
50          | 4      | 0      | 615.12   | 0.96    
50          | 5      | 0      | 675.52   | 1.10    
50          | 1      | 0.01   | 727.44   | 1.08    
50          | 2      | 0.01   | 843.66   | 1.16    
50          | 3      | 0.01   | 967.25   | 1.15    
50          | 4      | 0.01   | 879.80   | 0.91    
50          | 5      | 0.01   | 841.32   | 0.96    
50          | 1      | 0.1    | 723.62   | 0.86    
50          | 2      | 0.1    | 799.49   | 1.10    
50          | 3      | 0.1    | 892.94   | 1.12    
50          | 4      | 0.1    | 822.85   | 0.92    
50          | 5      | 0.1    | 796.42   | 0.97    
50          | 1      | 1      | 720.99   | 0.91    
50          | 2      | 1      | 773.36   | 1.07    
50          | 3      | 1      | 857.49   | 1.11    
50          | 4      | 1      | 817.77   | 0.95    
50          | 5      | 1      | 789.66   | 0.97    
100         | 1      | 0      | 690.84   | 0.87    
100         | 2      | 0      | 653.36   | 0.95    
100         | 3      | 0      | 643.09   | 0.98    
100         | 4      | 0      | 615.12   | 0.96    
100         | 5      | 0      | 675.52   | 1.10    
100         | 1      | 0.01   | 727.44   | 1.08    
100         | 2      | 0.01   | 843.66   | 1.16    
100         | 3      | 0.01   | 967.25   | 1.15    
100         | 4      | 0.01   | 879.80   | 0.91    
100         | 5      | 0.01   | 841.32   | 0.96    
100         | 1      | 0.1    | 723.62   | 0.86    
100         | 2      | 0.1    | 799.49   | 1.10    
100         | 3      | 0.1    | 892.94   | 1.12    
100         | 4      | 0.1    | 822.85   | 0.92    
100         | 5      | 0.1    | 796.42   | 0.97    
100         | 1      | 1      | 720.99   | 0.91    
100         | 2      | 1      | 773.36   | 1.07    
100         | 3      | 1      | 857.49   | 1.11    
100         | 4      | 1      | 817.77   | 0.95    
100         | 5      | 1      | 789.66   | 0.97    
Target Text (target): /Users/miguel/Documents/UA/MEI/1ºano/TAI/projects/TAI2/Group1/example/example_czech.txt
ref_size(%) | K      | a      | res      | ratio   
25          | 1      | 0      | 19813258.90 | 25090.87
25          | 2      | 0      | 19913551.91 | 1.01    
25          | 3      | 0      | 20813825.85 | 1.05    
25          | 4      | 0      | 22039323.81 | 1.06    
25          | 5      | 0      | 22712865.41 | 1.03    
25          | 1      | 0.01   | 22602393.77 | 1.00    
25          | 2      | 0.01   | 27530725.48 | 1.22    
25          | 3      | 0.01   | 27292981.38 | 0.99    
25          | 4      | 0.01   | 24781573.98 | 0.91    
25          | 5      | 0.01   | 23459583.97 | 0.95    
25          | 1      | 0.1    | 21940484.39 | 0.94    
25          | 2      | 0.1    | 25145724.48 | 1.15    
25          | 3      | 0.1    | 24899642.68 | 0.99    
25          | 4      | 0.1    | 23617823.12 | 0.95    
